 ;comment_text;Rhetoric;Main targeted group;Secondary targeted group;Pejorative framing of communism;Vulgar language
ČT;Pokorny Jan myslím, že tohle jsou ještě malé peníze,byli tu lepší sikulove například Bakala,Kalousek,atd;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Eva Majorníková kdo ukradl mnohem vic?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Pavel Gal Co ukradl Babiš?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Penize, napriklad;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Alena Kašová Tak ve stylu tak jak se krade houska v krámě, musím říct že nic. Ale když položíte otázku co získal poctivé, odpověď bude paradoxně podobná ....;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Pavel Gal https://www.idnes.cz/zpravy/domaci/vondra-promopro-ceske-predsednictvi-eu-podvody.A191007_091801_domaci_vlc?zdroj=vybava_idnes  Něco kolem půl miliardy 😃😃.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Eva Majorníková Jmenujte konkrétně.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Monika Vejskalová A na to jste přišla jak? To vám řekl Babiš?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Eva Majorníková ať se zodpovídá ten což to umožníl.Ktery si nahrabal.Hnus Babiš není jediny Ať z zveřejní,komu to bylo umožněno a to je v pořádku.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Pokorny Jan a vy nevíte že p. Babiš celou dotaci vrátil.? Soudit by měli ty kdoto schválili, špatně skontrolovali  a v platili. Když už chcete někoho trestat.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Božena Tomenendalová Jasně řekl, vám ne? To máte Božka málo informací.;Trolling;Fellow commenters;Not targeting;FALSE;FALSE
ČT;Vít Albrecht No to by byly věznice přeplněné.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Pokorny Jan jen někdo to podepsal aby je dostal ti jsou s obika;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Pokorny Jan on ty miliony vrátil. Chtělo by to aby se zveřejnily všechny dotace, to bychom se divili kdo je pobírá. To by republika měla hned vyrovnaný rozpočet jak by to museli všichni za ty roky vrátit. A ty peníze co jdou neziskovkam to je taky hodně peněz. Ještě jsem neslyšela a ani nečetla proč každý rok se dává 48 milionu na Barmu, to má pod sebou pan Fiala.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Pokorny Jan ale nikomu nevznikla škoda.Areal slouží lidem.  Zatímco Orlík, Diag Human, Casa, OKD a další to se zametlo pod koberec. Jako vše v tomto státě.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Eva Majorníková a kdo konkrétně ukradl víc? Buďte prosím konkrétní;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Drahoslava Dosedělová argument voličů Babise Fiala krade taky 😂😂😂;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Standa Stenly Binder to je úplně jedno ale dostal peníze na které neměl nárok a někdo jiný na ty peníze třeba čekal dokážete to pochopit?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Pokorny Jan není jsou to mnohem větší podvody a odklony peněz a tady se řeší drobné jen Diag Human je skoro 16 miliard;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Standa Stenly Binder takže když ukradl 50mil tak je to v pohodě protože je to min jak 16miliard?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Pokorny Jan dle soudu nespáchal trestný čin.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Standa Stenly Binder dle soudu se rozhodne v pondělí;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Pokorny Jan ale v popisku tohoto článku to tak je. A kdyby mělo dojít na lámání chleba tak by měli být odsouzeni všichni co to schvalovali a kontrolovali.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Standa Stenly Binder však nebojte v pondělí to u Babise začne;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Věra Obrová já vím vaše srdéčko bije pro Andreje;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Pokorny Jan v tom případě by to pak mělo pokračovat a kdoví co se ještě nakonec stane.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
